rank,agent_id,name,party,score,persuasion_cap,degree,involvement,support
1,A0685,A0685 Modem Mike,pde,0.8828,0.9996,7,0.9148,1.0
2,A0221,A0221 Syntax Sage,ped,0.8763,0.9939,8,0.7551,1.0
3,A0067,A0067 Kernel King,pdd,0.8667,0.969,7,0.9297,1.0
4,A0070,A0070 Missing Semicolon,ped,0.8617,0.9853,9,0.5535,1.0
5,A0983,A0983 Patchwork Pol,ped,0.8587,0.9607,7,0.9095,1.0
6,A0374,A0374 Colonel Cryptography,pde,0.8585,0.9745,7,0.8529,1.0
7,A0614,A0614 Hard Reset Henry,pde,0.8569,0.9891,6,0.9232,1.0
8,A0275,A0275 Latency Lord,ped,0.8536,0.9808,7,0.7955,1.0
9,A0609,A0609 Mr. Null Pointer,pde,0.8511,0.8822,9,0.8953,1.0
10,A0301,A0301 Encrypted Elder,ped,0.8508,0.9779,6,0.9271,1.0
11,A0769,A0769 API Apostle,pde,0.8463,0.9907,6,0.8456,1.0
12,A0449,A0449 Debugger Duke,ped,0.8437,0.9471,7,0.864,1.0
13,A0730,A0730 Baron Big Data,ped,0.8429,0.9885,6,0.8322,1.0
14,A0649,A0649 Lady Latent Space,pde,0.839,0.9929,6,0.7884,1.0
15,A0242,A0242 Infinite Loop,pde,0.8388,0.9996,6,0.7601,1.0
16,A0061,A0061 AI Architect,pdd,0.8387,0.9842,6,0.8216,1.0
17,A0988,A0988 Mainframe Max,pde,0.8383,0.9487,7,0.8215,1.0
18,A0280,A0280 Chief Memory Leak,pdd,0.837,0.9692,8,0.5917,1.0
19,A0966,A0966 Syntax Sage,pdd,0.8365,0.9964,5,0.8969,1.0
20,A0148,A0148 JSON Jockey,pdd,0.8338,0.95,6,0.9252,1.0
21,A0545,A0545 Senator SegFault,ped,0.8338,0.9754,6,0.8237,1.0
22,A0775,A0775 Excel Lord,pdd,0.8335,0.9836,6,0.7888,1.0
23,A0259,A0259 Vector Visionary,pde,0.833,0.9923,6,0.7509,1.0
24,A0117,A0117 Colonel Cryptography,pdd,0.8317,0.9811,6,0.7866,1.0
25,A0972,A0972 Regression Rep,pde,0.8311,0.988,6,0.7552,1.0
26,A0473,A0473 GPT Governor,pdd,0.8292,0.9747,6,0.7957,1.0
27,A0876,A0876 JSON Jockey,ped,0.8283,0.9869,6,0.7413,1.0
28,A0072,A0072 Duchess of the Router,pdd,0.8271,0.9954,6,0.6992,1.0
29,A0029,A0029 Binary Bishop,pdd,0.827,0.9975,6,0.6898,1.0
30,A0033,A0033 Captain BufferOverflow,pde,0.8261,0.9711,5,0.9284,1.0
31,A0984,A0984 Chief Cache-Memory,pdd,0.8247,0.9687,6,0.7897,1.0
32,A0684,A0684 Copper Cable King,spd,0.8242,0.9372,6,0.9128,1.0
33,A0690,A0690 Script Kiddie,pdd,0.8231,0.9813,6,0.7289,1.0
34,A0162,A0162 Dial-Up Duke,ped,0.8218,0.9534,6,0.8314,1.0
35,A0268,A0268 Script Kiddie,pde,0.8218,0.9989,6,0.6494,1.0
36,A0476,A0476 Hexadecimal Hank,pde,0.8213,0.981,6,0.7181,1.0
37,A0604,A0604 Lady Latent Space,pee,0.8213,0.935,6,0.9016,1.0
38,A0819,A0819 Trojan Troll,pde,0.8207,0.9898,5,0.8176,1.0
39,A0119,A0119 Chief Memory Leak,pdd,0.8194,0.9625,5,0.9182,1.0
40,A0676,A0676 Forkbomb Frank,pdd,0.8192,0.9678,5,0.8959,1.0
41,A0939,A0939 JSON Jockey,pde,0.8187,0.9907,5,0.8009,1.0
42,A0700,A0700 GPT Governor,pde,0.8187,0.9169,7,0.8181,1.0
43,A0510,A0510 Syntax Sage,pdd,0.8179,0.9964,6,0.6341,1.0
44,A0333,A0333 Debugger Duke,pde,0.8179,0.9506,7,0.6782,1.0
45,A0927,A0927 Reboot Rex,pde,0.8171,0.9642,6,0.7571,1.0
46,A0579,A0579 Dame Denial-of-Service,ped,0.8143,0.9482,6,0.8023,1.0
47,A0831,A0831 Binary Bishop,pde,0.8135,0.9188,6,0.9151,1.0
48,A0610,A0610 Infinite Loop,pdd,0.8134,0.9972,6,0.6003,1.0
49,A0108,A0108 Chief of Cipher,pde,0.8128,0.8814,7,0.9205,1.0
50,A0266,A0266 Robotics Rex,pde,0.8124,0.9342,6,0.846,1.0
51,A0731,A0731 Lady Tokenizer,spd,0.8117,0.9743,5,0.8197,1.0
52,A0530,A0530 Missing Semicolon,pde,0.8116,0.9409,6,0.8137,1.0
53,A0790,A0790 Binary Bishop,spd,0.81,0.9585,7,0.5941,1.0
54,A0186,A0186 Prompt Politician,pdd,0.81,0.9838,5,0.7702,1.0
55,A0226,A0226 Syntax Sage,ped,0.8096,0.9476,6,0.7739,1.0
