party,agent_id,name,influence_score,cand_reputation,campaign_reach
pdd,A0195,A0195 Read-Only Randy,0.994,0.99,2000
pdd,A0690,A0690 Script Kiddie,0.988,0.98,2000
pdd,A0904,A0904 Dataframe Dave,0.97,0.95,2000
pdd,A0610,A0610 Infinite Loop,0.964,0.94,2000
pde,A0988,A0988 Mainframe Max,0.982,0.97,2000
pde,A0033,A0033 Captain BufferOverflow,0.97,0.95,2000
pde,A0649,A0649 Lady Latent Space,0.964,0.94,2000
spd,A0731,A0731 Lady Tokenizer,0.976,0.96,2000
spd,A0684,A0684 Copper Cable King,0.97,0.95,2000
spd,A0790,A0790 Binary Bishop,0.922,0.87,2000
ped,A0226,A0226 Syntax Sage,0.904,0.84,2000
ped,A0048,A0048 Mainframe Max,0.904,0.84,2000
ped,A0221,A0221 Syntax Sage,0.892,0.82,2000
pee,A0911,A0911 Python Preacher,0.874,0.79,2000
